,Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
491,2023-09-14,5.11c/d,5.11c/d,"North Chickamauga, Chattanooga - Adam’s route left of Buffalo Smile. Haaard crux up high, don’t know how to get to the huge lieback flake. Also a tree fell and is blocking the top of the route ",https://www.mountainproject.com/route/122023975/511cd,1,* In Progress > Generic Area,3.3,-1,Lead,Fell/Hung,Sport,,,5400
492,2023-09-14,5.11b/c sport,5.11b/c,"Keegerator - North Chickamauga, Chattanooga. Mathew’s 5.13, I went up to just before the crux for a good 5.11",https://www.mountainproject.com/route/118779783/511bc-sport,1,* In Progress > Generic Area,3.0,-1,Lead,,Sport,,,5100
493,2023-09-14,5.10b/c sport,5.10b/c,"North Chickamauga, Chattanooga - Really long fun route with Matthew Gant and Daniel Dunn",https://www.mountainproject.com/route/118779761/510bc-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,3100
494,2023-09-08,5.10b/c sport,5.10b/c,Summersville Lake SWS at the Rat Hole. Traverse from land left and topped out,https://www.mountainproject.com/route/118779761/510bc-sport,1,* In Progress > Generic Area,2.9,-1,Solo,,Sport,,,3100
499,2023-09-03,5.12b sport,5.12b,"The Rat Hole, Summersville Lake. DWS. Took a face fall and ate some water",https://www.mountainproject.com/route/112170129/512b-sport,1,* In Progress > Generic Area,3.1,-1,Solo,,Sport,,,6900
503,2023-09-03,5.10d sport,5.10d,Reticulum. long Point Summersville Lake. ,https://www.mountainproject.com/route/112166322/510d-sport,1,* In Progress > Generic Area,2.9,-1,Solo,,Sport,,,3500
504,2023-09-03,5.9 sport,5.9,DWS Summersville lake. Easy-ish face to overhanging face in long point.,https://www.mountainproject.com/route/112166293/59-sport,1,* In Progress > Generic Area,2.4,-1,Solo,,Sport,,,2400
510,2023-09-01,5.11a sport,5.11a,DWS left of coliseum at Summersville lake,https://www.mountainproject.com/route/112166325/511a-sport,1,* In Progress > Generic Area,2.9,-1,Solo,,Sport,,,4600
514,2023-08-31,5.10a sport,5.10a,DWS very cool rounded arete right of pirates cove ,https://www.mountainproject.com/route/112166313/510a-sport,1,* In Progress > Generic Area,2.6,-1,Solo,,Sport,,,2600
578,2023-07-19,V4 boulder,V4,"Lincoln Lake - Trailside Arete left. couple attempts, no send.",https://www.mountainproject.com/route/112232354/v4-boulder,3,* In Progress > Generic Area,3.3,-1,Attempt,,Boulder,,,20400
579,2023-07-18,V1 boulder,V1,Lincoln Lake - Arete right of Powder Keg. Cool boulder,https://www.mountainproject.com/route/112232343/v1-boulder,1,* In Progress > Generic Area,2.8,-1,Flash,,Boulder,,,20100
580,2023-07-18,V5 boulder,V5,"Lincoln Lake - &#34;Lincoln in an Easy Chair&#34;, cool lip traverse/mantle opposite Powder Keg.",https://www.mountainproject.com/route/112232357/v5-boulder,1,* In Progress > Generic Area,3.0,-1,Send,,Boulder,,,20500
627,2023-03-27,V2 boulder,V2,"Ladies First, Ezekiel wall, Middle Mesteno, Roy",https://www.mountainproject.com/route/112232348/v2-boulder,1,* In Progress > Generic Area,3.1,-1,Flash,,Boulder,,,20200
628,2023-03-27,V2 boulder,V2,"90% Cocoa, Ezekiel Wall, Middle Mesteno, Roy",https://www.mountainproject.com/route/112232348/v2-boulder,1,* In Progress > Generic Area,3.1,-1,Send,,Boulder,,,20200
640,2023-03-24,V0 boulder,V0,"Snail Trail (corner), Ezekiel wall, Middle Mesteno, Roy.",https://www.mountainproject.com/route/112232340/v0-boulder,1,* In Progress > Generic Area,2.6,-1,Flash,,Boulder,,,20008
684,2023-01-08,V7 boulder,V7,"The Strip, 180’ boulder traverse near the gun club in Vegas. Did it in 4 segments, about v2 each segment. Then did some other variations and other bits and pieces",https://www.mountainproject.com/route/112232363/v7-boulder,1,* In Progress > Generic Area,3.4,-1,Attempt,,Boulder,,,20700
732,2022-08-19,5.12b sport,5.12b,"Outrageous, The colliseum, Vancouver Island",https://www.mountainproject.com/route/112170129/512b-sport,1,* In Progress > Generic Area,3.1,-1,Lead,,Sport,,,6900
733,2022-08-19,5.9 trad,5.9,"Abbey road, Beechy Head, Vancouver Island",https://www.mountainproject.com/route/112166365/59-trad,1,* In Progress > Generic Area,3.2,-1,Lead,,Trad,,,2400
