route_id,route_name,date,source,style,lead_style,attempts
491,Adam's Route Left Buffalo,2023-09-14,MP,Lead,Fell/Hung,1
492,Keegerator,2023-09-14,MP,Lead,Onsight,1
493,Long Fun Route,2023-09-14,MP,Lead,Onsight,1
494,Traverse From Land Left,2023-09-08,MP,Solo,,1
495,DWS Route,2023-09-03,MP,Solo,,1
499,DWS Route,2023-09-03,MP,Solo,,1
503,Reticulum,2023-09-03,MP,Solo,,1
510,DWS Left Coliseum,2023-09-01,MP,Solo,,1
514,DWS Rounded Arete,2023-08-31,MP,Solo,,1
578,Trailside Arete Left,2023-07-19,MP,Attempt,,1
579,Arete Right Powder Keg,2023-07-18,MP,Flash,,1
580,Lincoln in an Easy Chair,2023-07-18,MP,Send,,1
627,Ladies First,2023-03-27,MP,Flash,,1
628,90% Cocoa,2023-03-27,MP,Send,,1
640,Snail Trail (corner),2023-03-24,MP,Flash,,1
684,The Strip,2023-01-08,MP,Attempt,,1
732,Outrageous,2022-08-19,MP,Lead,Fell/Hung,1
733,Abbey Road,2022-08-19,MP,Lead,Onsight,1
734,Whaleback,2022-08-19,MP,Lead,Onsight,1
748,Sidecar,2022-08-10,MP,Solo,,1
749,Channel No. 5,2022-08-10,MP,Solo,,1
750,Elsinore,2022-08-10,MP,Solo,,1
751,Unknown Route,2022-08-10,MP,Solo,,1
755,Maxi Pad,2022-08-09,MP,Send,,1
756,Maxi Pad,2022-08-09,MP,Attempt,,1
789,Shannon Springs Traverse,2022-07-30,MP,Lead,,1
794,Deflowered,2022-07-29,MP,Lead,Onsight,1
795,Permit Process,2022-07-29,MP,Lead,Onsight,1
796,Three Pistols,2022-07-29,MP,Lead,Onsight,1
797,Easy Tango,2022-07-29,MP,Lead,Onsight,1
806,Blue Streak Right Waterfall,2022-07-23,MP,Lead,Onsight,1
807,Long Route Right Gully,2022-07-23,MP,Lead,Onsight,1
808,Middle 3 Red Wall,2022-07-23,MP,TR,,1
809,Flower Pot Route,2022-07-22,MP,TR,,1
810,Dr. Rainbow's Infinity Mirror,2022-07-22,MP,Lead,Redpoint,1
811,Dr. Rainbow's Infinity Mirror,2022-07-21,MP,TR,,1
813,South Wall Clean Face,2022-07-20,MP,Lead,Flash,1
814,Shallow Dihedral Right Face,2022-07-20,MP,Lead,Flash,1
815,Dr. Rainbow's Infinity Mirror,2022-07-21,MP,TR,,1
861,Where the Wild Things Are,2022-07-02,MP,Lead,Flash,1
862,Wicked Felina,2022-07-02,MP,Lead,Fell/Hung,2
863,All Manner of Wonderments,2022-07-02,MP,Lead,Redpoint,1
864,All Manner of Wonderments,2022-07-02,MP,Lead,Fell/Hung,1
865,2nd Slab Right Trailhead,2022-07-02,MP,Lead,Onsight,1
866,1st Slab Right Trailhead,2022-07-02,MP,Lead,Onsight,1
959,Hook Billed Owl,2022-02-14,MP,Send,,1
960,Nocturnal Sand Turtle,2022-02-14,MP,Send,,1
961,Poison Blue Fox,2022-02-14,MP,Send,,1
1067,Le Crossant,2021-10-10,MP,Lead,Flash,1
1068,Tiramisu,2021-10-10,MP,Lead,Redpoint,1
1077,Hunter Museum DWS,2021-10-04,MP,Solo,,1
1187,Amazing Arete Tan Wall,2021-05-30,MP,Lead,Redpoint,1
1188,Amazing Arete Tan Wall,2021-05-30,MP,Lead,Fell/Hung,1
1189,Far Right Tan Wall,2021-05-30,MP,Lead,Flash,1
1190,Middle East Facing Wall,2021-05-29,MP,Lead,Fell/Hung,1
1191,Middle East Facing Wall,2021-05-29,MP,Lead,Fell/Hung,1
1192,Middle East Facing Wall,2021-05-29,MP,Lead,Fell/Hung,1
1193,NW Overhang Just North,2021-05-29,MP,Lead,Fell/Hung,1
1194,NW Overhang Just North,2021-05-29,MP,Lead,Fell/Hung,1
1210,Fledgling Angels,2021-05-16,MP,Lead,Fell/Hung,1
1211,Fledgling Angel,2021-05-16,MP,Lead,Fell/Hung,1
1538,Syrene Song,2019-07-09,MP,Lead,Redpoint,1
1539,Summit Fever,2019-07-09,MP,Lead,Onsight,1
1540,Devil’s in Baggy Pants,2019-07-09,MP,Lead,Onsight,1
1541,"Lying, Unconstant Succubus",2019-07-09,MP,Lead,Onsight,1
1542,I don't want fop,2019-07-09,MP,Lead,Fell/Hung,1
