,Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
491,2023-09-14,"Adam's Route Left Buffalo","5.11c/d",,"https://www.mountainproject.com/route/491Generic/",1,"North Chickamauga, Chattanooga",3.3,-1,Lead,"Fell/Hung",Sport,, ,5400
492,2023-09-14,"Keegerator","5.11b/c",,"https://www.mountainproject.com/route/492Generic/",1,"North Chickamauga, Chattanooga",3.0,-1,Lead,Onsight,Sport,, ,5100
493,2023-09-14,"Long Fun Route","5.10b/c",,"https://www.mountainproject.com/route/493Generic/",1,"North Chickamauga, Chattanooga",2.9,-1,Lead,Onsight,Sport,, ,3100
494,2023-09-08,"Traverse From Land Left","5.10b/c",,"https://www.mountainproject.com/route/494Generic/",1,"Summersville Lake SWS at the Rat Hole",2.9,-1,Solo,,Sport,, ,3100
499,2023-09-03,"DWS Route","5.12b",,"https://www.mountainproject.com/route/499Generic/",1,"The Rat Hole, Summersville Lake",3.1,-1,Solo,,Sport,, ,6900
503,2023-09-03,"Reticulum","5.10d",,"https://www.mountainproject.com/route/503Generic/",1,"Summersville Lake",2.9,-1,Solo,,Sport,, ,3500
504,2023-09-03,"DWS Route","5.9",,"https://www.mountainproject.com/route/499Generic/",1,"Summersville Lake",2.4,-1,Solo,,Sport,, ,2400
510,2023-09-01,"DWS Left Coliseum","5.11a",,"https://www.mountainproject.com/route/510Generic/",1,"Summersville Lake",2.9,-1,Solo,,Sport,, ,4600
514,2023-08-31,"DWS Rounded Arete","5.10a",,"https://www.mountainproject.com/route/514Generic/",1,"unknown",2.6,-1,Solo,,Sport,, ,2600
578,2023-07-19,"Trailside Arete Left","V4",,"https://www.mountainproject.com/route/578Generic/",3,"Lincoln Lake",3.3,-1,Attempt,,Boulder,, ,20400
579,2023-07-18,"Arete Right Powder Keg","V1",,"https://www.mountainproject.com/route/579Generic/",1,"Lincoln Lake",2.8,-1,Flash,,Boulder,, ,20100
580,2023-07-18,"Lincoln in an Easy Chair","V5",,"https://www.mountainproject.com/route/580Generic/",1,"Lincoln Lake",3.0,-1,Send,,Boulder,, ,20500
