RouteID,Route,Date,Location,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105717328,Generic Crack,2024-03-30,Utah > Southeast Utah > Indian Creek > Donnelly Canyon,Trad,0,5.10-,G,3.4,1,Onsight/Flash,1
105717346,Binou's Crack,2024-03-30,Utah > Southeast Utah > Indian Creek > Donnelly Canyon,Trad,0,5.8+,G,2.7,1,Onsight/Flash,1
105717364,Supercrack of the Desert (aka Luxury Liner),2024-03-30,Utah > Southeast Utah > Indian Creek > Supercrack Buttress,Trad,0,5.10,G,3.8,3,Onsight/Flash,1
105717484,Scarface,2019-02-26,Utah > Southeast Utah > Indian Creek > Scarface,Trad,0,5.11a/b,G,3.8,1,Fell/Hung,2
105717763,Trading Places,2024-04-04,Utah > Southeast Utah > Indian Creek > Scarface,Trad,0,5.10,G,2.7,1,Fell/Hung,1
105717766,3AM Crack,2024-03-30,Utah > Southeast Utah > Indian Creek > Supercrack Buttress,Trad,0,5.10,G,3.5,1,Fell/Hung,1
105717892,Namaste,2024-05-19,Utah > Southwest Utah > Zion National Park > Kolob Canyon > South Fork of Taylor > Namaste Wall,Sport,0,5.11d,G,3.9,1,Onsight/Flash,1
105717895,1/2 Route,2024-05-19,Utah > Southwest Utah > Zion National Park > Kolob Canyon > South Fork of Taylor > Namaste Wall,Sport,0,5.10+,G,3.7,1,Onsight/Flash,1
105717922,Wavy Gravy,2019-02-26,Utah > Southeast Utah > Indian Creek > Scarface,Trad,0,5.10,G,3.2,1,Onsight/Flash,1
105718036,Black Uhuru,2024-04-04,Utah > Southeast Utah > Indian Creek > Scarface,Trad,0,5.10+,G,3.7,1,Onsight/Flash,1
105718084,Old Bushmills,2024-04-17,Utah > South Central Utah > San Rafael Swell > San Rafael Swell - North > Buckhorn Wash > Lower Buckhorn > Pine Canyon,Trad,0,5.10+,G,3.3,1,Fell/Hung,1
105718117,Huecos Rancheros,2024-05-19,Utah > Southwest Utah > Zion National Park > Kolob Canyon > South Fork of Taylor > Namaste Wall,Sport,0,5.12b,G,3.9,1,Fell/Hung,1
105718192,Tom Cat,2019-02-25,Utah > Southeast Utah > Indian Creek > Cat Wall,Trad,0,5.10,G,3.3,1,Fell/Hung,1
105718198,Apostasy,2024-05-18,Utah > Southwest Utah > Saint George > Chuckwalla Wall,Sport,0,5.10b,G,2.1,1,Fell/Hung,1
105718201,Dirtbag,2024-05-17,Utah > Southwest Utah > Saint George > Chuckwalla Wall,Sport,0,5.10-,G,2.4,1,Onsight/Flash,1
105718207,Second Coming,2024-05-17,Utah > Southwest Utah > Saint George > Chuckwalla Wall,Sport,0,5.12a,G,3.4,1,Fell/Hung,2
105718384,Taco Terror,2024-04-17,Utah > South Central Utah > San Rafael Swell > San Rafael Swell - North > Buckhorn Wash > Lower Buckhorn > Pine Canyon,Trad,0,5.11,G,3.9,1,Fell/Hung,1
105718435,Blue Sun,2024-04-01,Utah > Southeast Utah > Indian Creek > Way Rambo,Trad,0,5.10-,G,3.6,1,Onsight/Flash,1
105718441,Rochambeau,2024-04-01,Utah > Southeast Utah > Indian Creek > Way Rambo,Trad,0,5.9,G,2.6,1,Onsight/Flash,1
105718522,Anchors From Hell,2024-04-17,Utah > South Central Utah > San Rafael Swell > San Rafael Swell - North > Buckhorn Wash > Lower Buckhorn > Pine Canyon,Trad,0,5.10+,G,3.3,1,Onsight/Flash,1
105718642,Way Rambo,2024-04-01,Utah > Southeast Utah > Indian Creek > Way Rambo,Trad,0,5.12-,G,3.8,1,Fell/Hung,1
105732374,Yaak Crack,2024-06-01,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > The Gallery,Sport,0,5.11c,G,3.6,1,Onsight/Flash,1
105732443,Levitation 29,2017-03-23,Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Eagle Wall,Trad,0,5.11b/c,G,3.8,5,Fell/Hung,1
105732560,Gelatin Pooch,2024-06-01,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > The Gallery,Sport,0,5.10a,G,2.2,1,Onsight/Flash,1
105732563,"Pump First, Pay Later",2024-06-01,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > The Gallery,Sport,0,5.10b,G,2.0,1,Onsight/Flash,1
105732629,Viagra Falls,2024-05-26,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Panty Wall,Sport,0,5.11d,G,2.6,1,Onsight/Flash,1
105732941,Panty Raid,2024-05-26,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Panty Wall,Trad,0,5.10a,G,3.3,1,Onsight/Flash,1
105740945,Delay of Game,2024-10-11,Idaho > South Idaho > City of Rocks > Parking Lot Rock > Parking Lot Rock - West,Sport,0,5.8,G,2.8,1,Onsight/Flash,1
105740978,Just Say No,2022-07-25,Idaho > South Idaho > City of Rocks > Elephant Rock > Elephant Rock - East,Sport,0,5.9,PG13,2.6,1,Onsight/Flash,1
105740981,Rye Crisp,2022-07-25,Idaho > South Idaho > City of Rocks > Elephant Rock > Elephant Rock - East,Trad,0,5.8,G,3.7,1,Onsight/Flash,1
105740984,Private Idaho,2022-07-26,Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - West,Trad,0,5.9,G,3.1,1,Onsight/Flash,1
105741116,Groundwork,2024-04-24,Utah > Central Utah > Maple Canyon > Right Fork > The Minimum Crag,Sport,0,5.11c,G,3.3,1,Onsight/Flash,1
105741602,Tribal Boundaries,2024-10-12,Idaho > South Idaho > City of Rocks > Flaming Rock,Sport,0,5.10b,G,3.7,1,Onsight/Flash,1
105741848,Rollercoaster,2022-07-26,Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - West,Sport,0,5.8,G,2.8,1,Onsight/Flash,1
105741866,Colossus,2022-07-26,Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - West,Sport,0,5.10c,G,3.6,1,Onsight/Flash,1
105741869,Coffee and Cornflakes,2022-07-26,Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - West,Sport,0,5.10a,G,2.8,1,Onsight/Flash,1
105748096,Aid Crack,2021-06-12,Colorado > Boulder > Boulder Canyon > Cob Rock,Trad,0,5.10d,G,2.6,1,Onsight/Flash,1
105748154,Louise,2014-08-14,Colorado > Golden > North Table Mountain/Golden Cliffs > Brown Cloud Rocks,Sport,0,5.9,G,1.2,1,Onsight/Flash,1
105748160,Thelma,2014-08-13,Colorado > Golden > North Table Mountain/Golden Cliffs > Brown Cloud Rocks,Sport,0,5.7+,G,1.2,1,Onsight/Flash,1
105748235,Natural Selection,2022-10-22,Colorado > Golden > Clear Creek Canyon > Little Eiger,Sport,0,5.11b,G,2.5,1,Onsight/Flash,1
