RouteID,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105717328,402,1,0,31,0,3.4,1,0,1
105717346,402,1,0,27,0,2.7,1,0,1
105717364,402,1,0,36,0,3.8,3,0,1
105717484,124,1,0,43,0,3.8,1,2,2
105717763,405,1,0,36,0,2.7,1,2,1
105717766,402,1,0,36,0,3.5,1,2,1
105717892,414,0,0,49,0,3.9,1,0,1
105717895,414,0,0,40,0,3.7,1,0,1
105717922,124,1,0,36,0,3.2,1,0,1
105718036,405,1,0,40,0,3.7,1,0,1
105718084,407,1,0,40,0,3.3,1,2,1
105718117,414,0,0,54,0,3.9,1,2,1
105718192,123,1,0,36,0,3.3,1,2,1
105718198,413,0,0,34,0,2.1,1,2,1
105718201,412,0,0,31,0,2.4,1,0,1
105718207,412,0,0,52,0,3.4,1,2,2
105718384,407,1,0,46,0,3.9,1,2,1
105718435,403,1,0,31,0,3.6,1,0,1
105718441,403,1,0,29,0,2.6,1,0,1
105718522,407,1,0,40,0,3.3,1,0,1
105718642,403,1,0,51,0,3.8,1,2,1
105732374,420,0,0,47,0,3.6,1,0,1
105732443,10,1,0,45,0,3.8,5,2,1
105732560,420,0,0,32,0,2.2,1,0,1
105732563,420,0,0,34,0,2.0,1,0,1
105732629,418,0,0,49,0,2.6,1,0,1
105732941,418,1,0,32,0,3.3,1,0,1
105740945,442,0,0,26,0,2.8,1,0,1
105740978,296,0,0,29,1,2.6,1,0,1
105740981,296,1,0,26,0,3.7,1,0,1
105740984,297,1,0,29,0,3.1,1,0,1
105741116,408,0,0,47,0,3.3,1,0,1
105741602,443,0,0,34,0,3.7,1,0,1
105741848,297,0,0,26,0,2.8,1,0,1
105741866,297,0,0,37,0,3.6,1,0,1
105741869,297,0,0,32,0,2.8,1,0,1
105748096,226,1,0,39,0,2.6,1,0,1
105748154,1,0,0,29,0,1.2,1,0,1
105748160,0,0,0,24,0,1.2,1,0,1
105748235,309,0,0,44,0,2.5,1,0,1
105748298,133,0,0,48,0,2.9,3,0,1
105748361,21,1,0,23,0,3.2,4,0,1
105748397,3,0,0,42,0,3.1,1,0,1
105748409,213,0,0,37,0,2.4,1,0,1
105748415,63,0,0,52,0,3.6,1,2,1
105748421,85,0,0,57,0,3.6,1,2,3
105748433,87,0,0,56,0,3.7,1,0,1
